OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
22951;08;1;16;008;2019;01;07;3;3;5;2;1;1;1;0;0;0;0;519813,192999999970000;5379822,176000002800000;9,268586675000051;48,571177103000082;0
22952;08;1;15;003;2019;01;08;3;3;6;4;0;0;1;1;0;0;0;500917,525114663880000;5392778,140333071400000;9,012466675000042;48,688044084000069;1
22961;08;4;15;061;2019;01;07;2;3;6;4;2;0;1;1;0;0;0;514345,726812079550000;5371341,617887979400000;9,194178548000025;48,495032508000065;1
22970;08;4;15;061;2019;02;21;6;3;6;4;2;0;1;1;0;0;0;515202,651843741540000;5372143,974400322900000;9,205806715000051;48,502230634000057;1
22972;08;3;35;063;2019;01;07;2;3;5;3;1;1;1;0;0;0;0;496921,484580096790000;5287964,317964468200000;8,958932485000048;47,745043507000048;1
22981;08;4;17;002;2019;01;15;2;3;6;4;0;0;1;1;0;0;0;488952,770613613540000;5347134,113322807500000;8,851105148000045;48,277315156000043;1
22982;08;4;17;008;2019;01;15;5;3;0;7;0;1;0;0;0;0;0;491564,137180526740000;5350840,143880225700000;8,886227084000041;48,310697411000035;0
22997;08;2;31;000;2019;01;19;2;2;6;4;2;0;1;1;0;0;0;477927,694095189680000;5414115,160724204000000;8,698953604000053;48,879598673000032;1
23010;08;2;26;013;2019;01;09;2;2;4;2;0;1;1;0;0;0;0;499563,950828321280000;5480512,930316386700000;8,993980641000064;49,477261786000042;1
23014;08;2;11;000;2019;01;17;2;3;5;3;0;1;1;0;0;0;0;441068,839715708980000;5403591,701953826500000;8,197780180000052;48,782532056000036;1
23028;08;1;28;131;2019;01;06;2;2;6;4;2;0;1;1;0;0;0;536892,164510403760000;5512335,931256514000000;9,512252110000077;49,762366219000057;1
23032;08;2;22;000;2019;02;07;6;3;6;4;2;1;0;1;0;0;0;463169,819318458440000;5483124,861514398800000;8,491351828000063;49,499637699000061;0
23042;08;1;21;000;2019;01;16;2;3;5;3;0;1;1;0;0;0;0;513240,416966552850000;5445761,952943082900000;9,181621177000068;49,164530118000073;1
23046;08;1;19;093;2019;01;07;2;3;6;4;2;0;1;1;0;0;0;523710,125188503410000;5406181,645307114300000;9,322925246000068;48,808170523000058;1
23048;08;1;18;073;2019;01;16;2;2;6;4;1;0;1;1;0;0;0;497103,606740852820000;5419925,880837211400000;8,960454297000069;48,932256725000059;1
23052;08;1;18;079;2019;01;17;2;3;6;2;0;0;1;1;0;0;0;509882,655985211020000;5422316,498898131800000;9,134989962000077;48,953689818000043;0
23056;08;1;17;026;2019;01;18;2;3;6;4;2;0;1;1;0;0;0;547777,163425315170000;5395056,185845416000000;9,649403722000045;48,706708132000074;1
23063;08;3;37;022;2019;02;16;6;2;6;4;0;0;1;1;0;0;0;450247,592685687360000;5296180,059374287700000;8,335382428000060;47,817048332000070;1
23072;08;3;17;005;2019;01;11;1;3;5;2;0;1;1;0;0;0;0;426602,997697428800000;5374631,410854259500000;8,006021070000031;48,520501282000055;0
23073;08;3;15;022;2019;01;05;1;1;6;4;2;0;1;1;0;0;0;397669,072281346660000;5300903,465428860900000;7,632049406000022;47,853320911000026;1
23086;08;2;16;028;2019;01;12;1;2;0;7;0;1;0;0;0;0;0;429427,548673679120000;5396042,079675624100000;8,040624270000023;48,713413273000072;0
23103;08;4;35;057;2019;02;06;6;3;5;3;2;1;1;0;0;0;0;544568,125705476850000;5278839,173026179900000;9,593591300000071;47,661410469000032;0
23117;08;4;15;061;2019;01;13;7;3;5;3;0;1;1;0;0;0;0;516480,178644103930000;5370194,959154797700000;9,223024259000056;48,484664404000057;0
23134;08;2;12;000;2019;01;14;6;3;5;3;0;1;1;0;0;0;0;455001,943000000900000;5428246,080000001900000;8,384720394000055;49,005468753000059;0
