FID;OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrasse;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
115083;115084;08;1;18;073;2016;06;06;5;3;5;3;0;1;1;0;0;0;0;1;496783,876500000010000;5421134,664699999600000;8,956079344999999;48,943129016999997
115085;115086;08;4;21;000;2016;07;08;2;3;6;4;0;0;1;0;1;0;0;0;573099,541800000010000;5361557,078999999900000;9,987666749000001;48,402930810999997
115086;115087;08;3;35;026;2016;07;16;1;2;8;7;0;0;1;0;0;0;0;0;482831,798200000020000;5281404,169900000100000;8,771234936999999;47,685796994999997
115088;115089;08;3;35;043;2016;07;20;7;3;0;1;0;0;1;0;0;0;0;0;514135,215900000010000;5279630,100499999700000;9,188293552999999;47,669908002000000
115090;115091;08;3;26;052;2016;07;00;1;3;6;7;2;0;0;1;1;0;0;0;450184,053799999990000;5330423,009200000200000;8,330563798000000;48,125114275999998
115093;115094;08;1;21;000;2016;07;18;2;3;4;6;0;0;1;0;0;0;0;0;516060,216900000000000;5444386,806200000500000;9,220245750000000;49,152092947000000
115096;115097;08;3;17;096;2016;07;00;1;3;9;7;2;0;1;0;0;0;0;0;421246,982000000020000;5370221,301000000000000;7,934331769000000;48,480183969999999
115097;115098;08;3;17;065;2016;07;10;7;3;8;7;0;0;1;0;0;0;0;0;415919,512400000010000;5354519,351200000400000;7,865402521000000;48,338258525999997
115098;115099;08;1;18;048;2016;07;08;3;3;3;2;0;0;0;1;1;0;0;0;512034,014900000010000;5415594,049200000200000;9,164177515000000;48,893178550000002
115099;115100;08;1;15;003;2016;07;17;6;2;5;3;0;0;1;1;0;0;0;0;501458,645100000020000;5393433,688099999900000;9,019821341000000;48,693940427999998
115100;115101;08;4;16;041;2016;07;10;6;3;0;7;0;0;1;1;0;0;0;0;503679,507700000020000;5374408,496600000200000;9,049831663000001;48,522776331999999
115101;115102;08;1;18;048;2016;07;08;3;2;6;4;0;0;1;0;1;0;0;0;513620,065699999980000;5415959,618700000500000;9,185827746999999;48,896434280999998
115102;115103;08;1;16;049;2016;06;05;5;3;5;3;1;1;1;1;0;0;0;0;525199,428300000030000;5384958,292700000100000;9,341912639000000;48,617188626999997
115103;115104;08;2;22;000;2016;07;14;3;3;0;7;0;0;1;0;0;0;0;0;462050,305899999980000;5481078,820100000100000;8,476087752000000;49,481165627000003
115104;115105;08;1;19;085;2016;07;16;2;3;0;1;0;0;1;0;0;0;0;1;528267,339599999950000;5412713,788700000400000;9,385442447999999;48,866740933999999
