OBJECTID;UIDENTSTLA;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
153891;08170802235010065370;08;2;36;071;2017;08;16;4;2;0;1;1;0;0;0;0;0;0;469001,321799999980000;5422483,816800000100000;8,576573083000028;48,954496823000056
153892;08170802235010055050;08;2;31;000;2017;08;14;4;3;6;4;1;0;1;0;0;0;0;475423,899299999990000;5415229,533699999600000;8,664737673000047;48,889528966000057
153893;08170802226600142510;08;2;26;031;2017;08;13;4;3;3;6;1;1;0;0;0;0;0;475024,038600000030000;5493151,648900000400000;8,654426729000022;49,590428588000066
153895;08170802212502054890;08;2;12;000;2017;08;12;4;3;4;2;1;1;0;0;0;0;0;454302,715099999970000;5428360,984400000400000;8,375147181000045;49,006450949000055
153896;08170802136200059950;08;1;36;019;2017;08;00;4;2;2;6;1;1;0;0;0;2;1;585443,034400000000000;5423088,218600000300000;10,167127215000050;48,954806404000067
153897;08170802135200075220;08;1;35;019;2017;08;16;4;3;0;1;1;0;0;0;0;0;0;585545,417800000050000;5395252,782100000400000;10,162717650000047;48,704439779000040
153900;08170802128100054660;08;1;28;007;2017;08;13;4;3;5;3;1;1;0;0;0;0;0;556244,488999999940000;5482220,616000000400000;9,776621931000022;49,490015434000043
153904;08170802116500077030;08;1;16;046;2017;08;19;4;3;6;2;0;1;1;0;0;0;0;527744,108099999950000;5378148,938000000100000;9,375984117000030;48,555823513000064
153906;08170802111370088360;08;1;11;000;2017;08;13;4;3;0;1;1;0;0;0;0;0;0;512880,818800000010000;5406464,843999999600000;9,175443048000034;48,811036964000039
153907;08170802111330054880;08;1;11;000;2017;08;17;4;3;1;5;1;1;0;0;0;0;0;512694,609500000020000;5408783,002799999900000;9,172978546000024;48,831894618000035
153908;08170802111310069060;08;1;11;000;2017;08;07;4;3;6;4;0;0;1;1;0;0;0;515464,039999999980000;5406367,475800000100000;9,210623888000043;48,810102136000069
153909;08170802111260062270;08;1;11;000;2017;08;10;4;3;3;6;1;0;0;0;1;0;0;519551,338099999990000;5401419,350100000400000;9,266057868000075;48,765474370000049
153910;08170802111130105520;08;1;11;000;2017;08;23;4;3;1;5;1;1;0;0;0;2;0;512498,087200000010000;5401575,985299999800000;9,170081379000067;48,767065059000061
153911;08170801437200053130;08;4;37;104;2017;08;18;3;2;0;1;1;0;0;0;0;0;0;516308,980700000010000;5325721,590300000300000;9,218990371000075;48,084556500000076
153912;08170801436500052220;08;4;36;052;2017;08;14;3;2;8;1;1;0;0;0;0;0;0;565751,918500000030000;5295396,281700000200000;9,878205356000024;47,808560893000049
153913;08170801436211129340;08;4;36;008;2017;08;18;3;3;4;6;1;1;0;0;0;0;0;547617,100800000010000;5310569,576600000300000;9,637681812000039;47,946669772000064
153916;08170801417100055330;08;4;17;079;2017;08;07;3;3;1;3;1;1;0;0;0;0;0;501355,323199999980000;5344217,903599999800000;9,018257767000023;48,251173622000067
153917;08170801416200052860;08;4;16;041;2017;08;21;3;3;0;7;1;0;0;0;0;2;1;505593,326799999980000;5373097,405799999800000;9,075732961000028;48,510967142000027
153919;08170801337200060020;08;3;37;053;2017;08;22;3;3;6;7;0;1;1;0;0;2;0;457023,432500000000000;5268712,177899999500000;8,428598689000069;47,570402122000075
153920;08170801335100091560;08;3;35;043;2017;08;17;3;3;0;7;1;0;0;0;0;0;0;513355,623299999980000;5278164,433000000200000;9,177863943000034;47,656736975000058
153921;08170801335100054430;08;3;35;043;2017;08;15;3;3;5;2;1;0;0;1;0;0;0;512630,655499999990000;5278757,207399999700000;9,168226337000021;47,662085133000062
153922;08170801335010053030;08;4;36;064;2017;08;10;3;2;5;3;1;1;0;0;0;0;0;546723,894100000030000;5293484,734899999600000;9,623873286000048;47,793025692000072
153925;08170801316100074060;08;3;16;011;2017;08;08;3;3;5;3;1;1;0;0;0;0;0;415706,694399999980000;5329132,418200000200000;7,867580314000065;48,109872991000032
153926;08170801311213053600;08;3;11;000;2017;08;13;3;3;0;2;1;0;0;0;1;0;0;413333,738799999990000;5317069,504099999600000;7,838152141000023;48,001045615000066
153927;08170801311010063360;08;3;11;000;2017;08;17;3;3;6;4;0;0;1;0;1;0;0;414193,238200000020000;5316362,992600000500000;7,849813456000049;47,994806230000052
153929;08170801311010052310;08;3;36;091;2017;08;14;3;3;3;2;1;1;0;0;0;0;0;395762,392100000000000;5271930,170099999800000;7,613502744000073;47,592400429000065
153931;08170801299200056470;08;2;12;000;2017;08;17;3;2;8;1;1;0;0;0;0;0;1;462886,015000000010000;5427760,716799999600000;8,492562483000029;49,001627263000046
153933;08170801299200052290;08;2;12;000;2017;08;14;3;3;1;5;1;1;0;0;0;0;0;456542,835800000000000;5428764,097400000300000;8,405733088000034;49,010238805000029
153934;08170801237100069870;08;2;37;004;2017;08;19;3;3;4;6;1;0;0;0;0;0;0;453670,710900000010000;5373201,321800000000000;8,372714849000033;48,510217816000079
153938;08170801221010148310;08;2;21;000;2017;08;13;3;2;4;6;1;1;0;0;0;0;0;474954,859699999970000;5475797,850700000300000;8,654570532000037;49,434334378000074
153939;08170816136100086380;08;1;36;088;2017;08;08;4;3;0;2;1;1;0;0;0;0;0;581208,732500000040000;5409887,573800000400000;10,106675286000041;48,836649198000032
153942;08170816221000102880;08;2;21;000;2017;08;07;4;2;5;3;1;0;0;0;1;0;0;476678,663600000030000;5475028,470800000200000;8,678390547000049;49,427482529000031
153944;08170816221000087670;08;2;21;000;2017;08;17;4;3;1;5;1;1;0;0;0;0;0;476514,672299999980000;5472653,330500000200000;8,676269636000029;49,406112258000064
153945;08170816212710090670;08;2;15;096;2017;08;17;4;3;5;3;1;1;0;0;0;0;0;463838,811600000020000;5418041,638700000000000;8,506452315000047;48,914257331000044
153946;08170816212702140050;08;2;15;017;2017;08;08;4;3;5;3;1;1;0;0;0;0;0;455113,468600000020000;5420272,360100000200000;8,387124994000033;48,933752082000069
153947;08170816212502088970;08;2;12;000;2017;08;17;4;3;5;3;1;0;0;0;0;0;0;452941,399299999990000;5427459,958399999900000;8,356638523000072;48,998243879000029
153948;08170816212502088220;08;2;12;000;2017;08;11;4;3;1;5;1;1;0;0;0;0;0;453994,969500000010000;5428443,950199999800000;8,370930011000041;49,007174368000051
153950;08170816119300087700;08;1;19;067;2017;08;11;4;3;0;1;1;0;0;0;0;0;0;539777,239399999960000;5406103,298800000000000;9,541739079000024;48,806645050000043
153953;08170816118100113540;08;1;18;007;2017;08;08;4;3;1;5;1;0;0;0;1;0;0;511328,966499999980000;5427466,053700000000000;9,154888908000032;48,999988447000078
153955;08170816117300114980;08;1;17;026;2017;08;10;4;3;6;4;0;1;1;0;0;0;0;548115,729399999950000;5394938,831500000300000;9,653991637000047;48,705626443000028
153956;08170816116010092190;08;1;16;019;2017;08;17;4;2;5;2;1;1;0;0;0;0;0;520516,543999999990000;5399244,063000000100000;9,279083977000028;48,745874651000065
153962;08170815436310089370;08;4;36;049;2017;08;10;3;3;0;1;1;0;0;0;0;0;0;578229,762600000020000;5283209,266699999600000;10,042644911000025;47,697529665000047
153963;08170815435200085840;08;4;35;059;2017;08;13;3;3;5;2;1;1;0;0;0;0;0;512764,357200000030000;5290211,819799999700000;9,170342638000022;47,765146513000047
153964;08170815435117083930;08;4;35;057;2017;08;11;3;3;3;1;1;1;0;0;0;0;0;544810,259700000050000;5276389,460400000200000;9,596564980000039;47,639353064000034
153966;08170815435100087840;08;4;35;016;2017;08;12;3;3;0;7;1;0;0;0;0;0;0;535061,248000000020000;5277489,586000000100000;9,466868337000051;47,649852850000059
153967;08170815421112086250;08;4;25;073;2017;08;14;3;3;0;1;1;0;0;0;0;0;0;541749,238099999960000;5345443,028800000400000;9,562517247000073;48,260821409000073
153968;08170815416200083020;08;4;16;041;2017;08;09;3;3;5;3;1;1;0;0;0;0;0;506359,813000000020000;5374841,737300000200000;9,086137679000046;48,526652483000078
153969;08170815415400098890;08;4;15;061;2017;08;23;3;3;0;1;1;0;0;0;0;2;1;511649,094999999970000;5371302,735100000200000;9,157676995000031;48,494738490000032
