OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
86183;08220614136010808520;08;1;36;042;2022;06;11;3;3;5;3;0;0;1;1;0;0;0;0;546039,390624681022018;5403953,366180139593780;9,626779380000070;48,786873205000099
86196;08220629327200853160;08;3;27;049;2022;06;12;4;2;5;2;0;0;1;1;0;0;0;0;473385,413943978026509;5322438,746599650010467;8,642836819000021;48,054674048999999
86202;08220615325202867930;08;3;25;064;2022;06;22;4;2;0;1;2;0;1;0;0;0;0;0;480786,549383306992240;5332815,069433979690075;8,741690267000020;48,148294972000002
86204;08220711421200887720;08;4;21;000;2022;07;14;2;2;4;2;0;0;1;1;0;0;0;0;574537,452531488030218;5362045,984716550447047;10,007178474000099;48,407160201000103
86209;08220621336400832110;08;3;36;014;2022;06;15;3;3;0;7;0;0;1;0;0;0;0;0;392135,327999953995459;5278434,154999479651451;7,563671507000040;47,650310286000000
86210;08220706426010895420;08;4;25;033;2022;07;12;4;2;5;3;0;0;1;1;0;0;0;0;555734,957311504986137;5346829,133665720000863;9,751124806000060;48,272214662000103
86211;08220715212402901560;08;2;12;000;2022;07;16;6;3;0;7;0;0;1;0;0;0;0;0;455630,636999999987893;5427032,957999530248344;8,393448840000080;48,994602102999998
86212;08220626437000845990;08;4;37;078;2022;06;09;1;3;4;2;0;0;1;1;0;0;0;0;508750,403999999980442;5315536,350999499671161;9,117289007000069;47,993067406000101
86218;08220622311200842090;08;3;11;000;2022;06;10;4;3;5;3;0;0;1;1;0;0;0;0;414592,023346101981588;5317884,884421399794519;7,854854830000020;48,008549627999997
86219;08220701221011869190;08;2;21;000;2022;07;16;6;2;3;6;0;0;1;0;0;0;0;0;480497,299027951026801;5474195,719460030086339;8,731091144000059;49,420126512000103
86222;08220617231000864470;08;2;35;008;2022;06;18;6;2;4;6;1;0;1;1;0;0;0;0;480299,036779346992262;5399883,366228870116174;8,731979552000039;48,751652100000101
86223;08220719226600922800;08;2;26;028;2022;07;16;3;3;4;6;0;0;1;0;0;0;0;0;472229,193862785992678;5483378,622917230241001;8,616446267000070;49,502402618000097
86226;08220713216100892570;08;2;16;043;2022;07;10;4;2;5;3;0;0;1;1;0;0;0;0;441685,077468072006013;5413627,635315899737179;8,204740764000061;48,872863562000099
86233;08220615417010810690;08;4;17;002;2022;06;15;4;2;5;3;0;0;1;0;1;0;0;0;488906,314753554994240;5347650,086933880113065;8,850465470000071;48,281956412000099
86244;08220622127100815580;08;1;27;076;2022;06;16;4;3;5;3;0;1;1;1;0;0;0;0;554429,981398398987949;5439170,349583219736814;9,745704689000039;49,102970313000100
86250;08220627426100827090;08;4;26;021;2022;06;07;2;3;3;2;0;0;1;1;0;0;0;0;558428,931231533992104;5327129,189146540127695;9,784717436000051;48,094750101999999
86251;08220712335400887850;08;3;35;079;2022;07;06;3;3;0;1;0;0;1;0;0;0;0;0;498971,916534307994880;5298854,297041470184922;8,986259519000040;47,843032746000098
86257;08220616226300794850;08;2;26;056;2022;06;14;5;3;3;6;0;0;1;1;0;0;0;0;484188,508241240982898;5471160,124496480450034;8,782107035000021;49,392928746000102
86259;08220712111320889990;08;1;11;000;2022;07;11;3;3;5;3;0;0;1;1;0;0;0;0;515734,481644443003461;5405409,160654620267451;9,214270610000030;48,801474480000103
86260;08220706111500889610;08;1;11;000;2022;07;15;4;2;6;4;0;0;0;1;1;0;0;0;512020,338471888971981;5406830,669993270188570;9,163733653000071;48,814345130000000
86263;08220618118010842510;08;1;18;046;2022;06;22;7;2;0;1;2;0;1;0;0;0;0;0;515460,013826960988808;5412648,190063170157373;9,210806005000050;48,866602343000103
86268;08220722426010941570;08;4;26;062;2022;07;07;6;2;5;3;0;0;1;1;0;0;0;0;555597,770159958978184;5319384,519649430178106;9,745690634000031;48,025329855000102
86275;08220709216100881640;08;2;16;043;2022;07;09;7;3;5;3;0;0;1;1;0;0;0;0;442026,628915267006960;5411084,607668089680374;8,209758364000040;48,850021116000100
86276;08220720436100928510;08;4;36;010;2022;07;08;4;3;3;6;0;0;1;1;0;0;0;0;570190,849616209976375;5312004,649492329917848;9,940185240000060;47,957503619000100
86277;08220711121100903100;08;1;25;049;2022;07;14;2;2;6;4;0;0;0;1;1;0;0;0;499571,344695429026615;5450155,333454179577529;8,994115358000039;49,204192687000003
86286;08220716317300935030;08;3;17;065;2022;07;19;7;3;5;2;1;0;1;1;0;0;0;0;416704,968095166026615;5354672,209915780462325;7,875969243000040;48,339737524999997
86287;08220629119400836550;08;1;19;079;2022;06;17;4;2;5;3;0;0;1;0;0;0;0;0;524349,172933000023477;5407691,265248520299792;9,331718332000040;48,821725985000100
86293;08220722121200957790;08;1;21;000;2022;07;14;6;3;5;3;0;0;1;0;0;0;0;1;515749,640722658019513;5442532,986706670373678;9,215914158000031;49,135425279000103
86307;08220719128300928840;08;1;28;131;2022;07;17;3;3;0;1;0;0;1;0;0;0;0;0;536786,319067877018824;5511180,198534750379622;9,510673320000020;49,751977961000101
86308;08220715436200914720;08;4;35;036;2022;07;07;6;3;5;3;0;0;1;1;0;0;0;0;521799,919961497012991;5283310,371060259640217;9,290576913000050;47,702808501000000
